subscriber,channel_avg_views,channel_avg_like_rate,title_length,tag_density,desc_length,desc_keyword_count,title_upper_ratio,desc_has_youtube_link,desc_has_timestamp,channel_has_digit,channel_has_special,title_ends_with_punct,category_1,category_2,category_10,category_15,category_17,category_19,category_20,category_22,category_23,category_24,category_25,category_26,category_27,category_28,category_29,period_Afternoon,period_Dawn,period_Evening,period_Morning,log_views
973496,2122489.0,0.0094629465688632,83,0.1566265060240964,92,0,0.1566265060240964,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.568100485731334
66329,58135.0,0.0089274963447148,76,0.2236842105263158,145,0,0.1578947368421052,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10.970540372296472
12672164,1406572.8,0.049970669819568,48,0.7916666666666666,588,1,0.1666666666666666,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.749098282444892
2545188,603829.0,0.0896474763289928,39,0.6666666666666666,2354,0,0.4871794871794871,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,14.025546984991879
147718,102055.0,0.0063464458956993,30,0.1,383,0,0.1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,11.17170195892353
0,1473535.6666666667,0.0097401971376685,47,0.2765957446808511,570,0,0.1489361702127659,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,14.81642732415893
490822,109795.0,0.0356468431037621,33,0.2727272727272727,521,0,0.1515151515151515,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.742054552499475
10365977,2291077.0,0.0448374279869249,32,0.28125,1229,2,0.15625,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,14.644533007124076
7579253,2020349.818181818,0.0233764733474658,55,0.1636363636363636,593,0,0.1636363636363636,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.860817705275801
235528,226659.0,0.0429058629924247,48,0.2291666666666666,528,2,0.125,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.33120637628694
2137177,1451610.5,0.0361728766263824,50,0.64,812,2,0.4,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.118596627317823
2205605,651807.8,0.042821799338339,59,0.0,166,0,0.0169491525423728,0,0,0,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.734513211235164
13357328,2016140.8461538465,0.0783083027799534,45,0.8222222222222222,1642,2,0.1777777777777777,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15.11857031020964
941941,241314.0,0.0624538982404667,44,0.2954545454545454,2017,1,0.1363636363636363,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.393858412963288
1361647,1185773.0,0.0383825572010831,39,0.9230769230769232,1129,2,0.1282051282051282,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,13.985906283889202
645538,1262652.0,0.022269794052518,57,0.1228070175438596,180,0,0.1228070175438596,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14.048725620907778
1968678,742237.3571428572,0.012217135429212,54,0.5370370370370371,1322,1,0.1481481481481481,1,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.325130423912258
295387,402988.0,0.0108009681385714,55,0.1454545454545454,442,0,0.0909090909090909,0,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,12.512402266666907
6358719,5546674.4,0.0555307828153035,55,0.5636363636363636,477,0,0.1272727272727272,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,15.516020226214868
13857473,5148601.6,0.0797175679154693,42,0.8333333333333334,2139,2,0.7857142857142857,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,15.135080811291143
23760020,901079.5909090908,0.024119823656758,55,0.2727272727272727,179,0,0.1272727272727272,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,12.627827682679845
2127866,277923.0,0.0414006684712908,38,0.2368421052631578,1225,1,0.131578947368421,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,12.50436077439418
208047,358278.5,0.0056416259804684,34,0.4411764705882353,1386,0,0.5,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.812612912748584
1641737,160167.66666666666,0.0331864192223253,33,0.2424242424242424,105,0,0.1818181818181818,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.8995067235766
2360833,634188.5,0.1408738774207309,40,0.375,548,1,0.175,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.133886727838972
252011,178313.0,0.0508768289468518,29,1.137931034482759,3036,1,0.2413793103448276,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.091301320118161
1525232,3096257.0,0.0460206143503083,17,0.6470588235294118,1054,1,0.2941176470588235,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.597294793383226
5887416,1660760.1764705882,0.0487868238608986,33,0.3939393939393939,394,1,0.0909090909090909,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,14.313893896536378
7296670,1461150.857142857,0.0358019265335372,73,0.1506849315068493,676,0,0.136986301369863,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.589158113655516
1090721,232083.0,0.0636237897648686,54,0.0185185185185185,1531,1,0.7777777777777778,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,12.354854654082814
5467,524911.0,0.0149015737906045,43,0.3255813953488372,525,0,0.0232558139534883,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,13.1709859084765
2188912,1201587.3846153845,0.0522542014353507,40,0.5,796,0,0.15,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,13.833157923174342
694662,193375.66666666663,0.0343396332926272,45,0.9111111111111112,2730,1,0.1555555555555555,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11.954619636218789
827892,626208.7777777778,0.0139949617726695,70,0.0857142857142857,169,0,0.1428571428571428,0,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,12.880248503164694
2888798,308352.0,0.0511266344956413,44,0.3181818181818182,1060,1,0.1590909090909091,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,12.639000509576137
3965373,778957.8461538461,0.0139607657832364,66,0.4545454545454545,1544,0,0.1969696969696969,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,13.719539159603134
11259007,968348.564102564,0.0167169888225814,38,0.8157894736842105,2285,0,0.131578947368421,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,14.090011641602734
1545575,194946.0,0.0475926666871851,41,0.6829268292682927,1792,0,0.1463414634146341,1,0,0,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,12.180483005731169
10530112,2705710.0,0.0375795217852248,13,0.0769230769230769,840,1,0.1538461538461538,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.448307235383828
2824,104567.8,0.0157391796242184,48,0.1666666666666666,1072,0,0.0208333333333333,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.88238335777239
3073400,226317.0,0.0517062350596729,42,0.6190476190476191,466,0,0.5,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.32969636889151
1329828,282693.2,0.0306538791026393,45,0.6888888888888889,813,1,0.3777777777777777,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11.497029795564844
4673210,468420.0,0.0362180541077846,34,1.2941176470588236,1483,1,0.2941176470588235,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.055806821403442
344326,41251.0,0.0378415068725606,46,0.3043478260869565,800,0,0.1521739130434782,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10.62745487543596
106500,1994967.5,0.033016321389107,41,0.0975609756097561,274,0,0.1951219512195122,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.180657017074791
3766915,1857284.888888889,0.0416122778456509,36,0.8888888888888888,808,1,0.1666666666666666,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,11.990599600520184
730238,77302.0,0.0485886522987762,43,1.2093023255813953,474,0,0.1627906976744186,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,11.255488043654255
5600865,688016.2,0.0140124419087808,87,0.0,754,0,0.1494252873563218,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,12.847713351086458
10007174,3591056.0,0.0354214844019552,67,0.0597014925373134,830,0,0.1194029850746268,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.627086246885055
0,193832.0,0.006969953361674,36,0.75,91,0,0.1666666666666666,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,12.174752242580812
