"video_id","is_weekend","publish_hour","views","likes","comment_count","tag_appeared_in_title_count","tag_appeared_in_title_f","title_length","has_question","has_exclamation","tags_count","subscriber","interaction_rate","is_hot","is_weekend_f","has_question_f","has_exclamation_f","is_hot_f"
"RP3UsFrDJfY",0,0,1508992,74113,4784,7,"TRUE",63,0,0,23,9506149,0.0522845714225125,0,"0","0","0","0"
"9efQnL-nlUg",0,17,552694,15642,1559,2,"TRUE",33,0,1,13,2882287,0.0311221037319023,0,"0","0","1","0"
"5TLANg1GC7U",0,0,3322855,79652,7945,1,"TRUE",50,0,0,12,1288271,0.0263619688490771,0,"0","0","0","0"
"fIElFIuzGLI",0,18,285437,6715,1440,4,"TRUE",49,0,0,23,3955622,0.0285702274056972,0,"0","0","0","0"
"taxAD2LePy8",0,4,436638,37923,3722,1,"TRUE",53,0,1,7,2168843,0.0953764903650163,1,"0","0","1","1"
"1dQEfL2BfUM",0,15,279714,17440,764,1,"TRUE",31,0,0,28,2049015,0.0650807610630859,1,"0","0","0","1"
"CKPMAICRYuw",0,14,554250,9325,459,5,"TRUE",64,0,1,19,23760020,0.0176526838069463,0,"0","0","1","0"
"NWQqJDGo4Z4",0,8,177640,3250,1297,2,"TRUE",73,0,0,4,2585885,0.0255967124521504,0,"0","0","0","0"
"Lg5x-YWxpco",0,19,1199114,12009,5707,1,"TRUE",53,0,0,19,2421086,0.0147742416484171,0,"0","0","0","0"
"pDf5sHgvo0A",0,2,707164,11709,3676,11,"TRUE",96,0,0,36,23182596,0.0217559151766775,0,"0","0","0","0"
"mH-Sx0lEGjA",0,9,461918,14478,956,0,"FALSE",34,0,0,26,13608050,0.0334128568274023,0,"0","0","0","0"
"TSW9cla5bmw",0,8,142076,1942,203,0,"FALSE",55,0,0,30,3965373,0.0150975534221121,0,"0","0","0","0"
"puREqwXzyCI",0,19,224381,12946,1841,5,"TRUE",41,0,1,19,8648654,0.0659013018036286,1,"0","0","1","1"
"LqSkYMmyUWU",0,8,500154,9613,1104,0,"FALSE",26,0,0,5,390,0.0214274003606889,0,"0","0","0","0"
"M6LTqtYKDtI",0,15,1420335,51801,3499,1,"TRUE",74,0,0,35,14828172,0.0389344767255612,0,"0","0","0","0"
"3IaL0li-LWU",0,15,219585,4512,4952,10,"TRUE",35,0,0,24,416583,0.0430994831158777,0,"0","0","0","0"
"vFK7oWLWapc",0,3,338425,10947,2991,0,"FALSE",18,0,0,0,214706,0.041184900642683,0,"0","0","0","0"
"Da2crn5NXc4",0,18,1018706,68667,984,6,"TRUE",31,0,0,31,12093428,0.0683720327552797,1,"0","0","0","1"
"GyvRamX1VyA",0,21,480162,17538,1389,1,"TRUE",56,0,0,28,1145860,0.0394179464430755,0,"0","0","0","0"
"Yq4_YocuVeg",0,16,116657,2162,207,4,"TRUE",53,0,0,33,3181914,0.0203073968986002,0,"0","0","0","0"
"0PW9MWDWLH8",0,8,150117,11143,899,4,"TRUE",43,0,0,14,3008137,0.0802174304042847,1,"0","0","0","1"
"SJUhFjNfaZY",0,15,72728,502,74,2,"TRUE",45,0,0,10,50,0.00791992080079199,0,"0","0","0","0"
"TfHJJeiS-aI",0,6,199922,2013,147,4,"TRUE",57,0,0,11,578344,0.0108042136433209,0,"0","0","0","0"
"leFNoUJmJ9o",0,1,26940,1933,319,1,"TRUE",37,0,0,21,601630,0.0835931700074239,1,"0","0","0","1"
"X5DWRXTOUD0",0,23,748102,47024,3775,4,"TRUE",44,0,0,24,8498418,0.0679038419894613,1,"0","0","0","1"
"Zxag9p-63RU",0,14,1484851,6093,601,1,"TRUE",30,0,0,31,5029965,0.0045081964452999,0,"0","0","0","0"
"FaxqVBYVOVU",0,2,246989,8801,712,0,"FALSE",56,0,0,2,180388,0.0385158853228281,0,"0","0","0","0"
"HszBf-CJeVE",0,17,1485868,64074,3230,3,"TRUE",34,0,0,19,810427,0.0452960828283535,0,"0","0","0","0"
"-xt_j2aIAkg",0,9,2678479,9250,921,2,"TRUE",16,0,0,34,1275884,0.00379730436564931,0,"0","0","0","0"
"FTv-CE43PpM",0,19,93534,1986,857,1,"TRUE",44,0,0,15,1521403,0.0303953642525713,0,"0","0","0","0"
"UQHSK-kgONk",0,18,279046,5342,342,2,"TRUE",74,0,0,8,402523,0.0203694014606911,0,"0","0","0","0"
"_akwfRuL4os",0,19,307975,9093,2172,0,"FALSE",52,0,0,0,10405,0.0365776442893092,0,"0","0","0","0"
"XcUiOyKclOI",0,15,125128,4623,305,7,"TRUE",89,0,0,9,259619,0.0393836711207723,0,"0","0","0","0"
