threshold,precision,recall,f1,accuracy,balanced_accuracy,youden
0.6,0.9034317637669593,0.9056,0.9045145825009988,0.9044,0.9044,0.8088
0.61,0.9057971014492754,0.9,0.9028892455858748,0.9032,0.9032,0.8064
0.62,0.9065800162469537,0.8928,0.8996372430471584,0.9004,0.9004000000000001,0.8008000000000001
0.63,0.9073770491803279,0.8856,0.8963562753036437,0.8976,0.8976,0.7952
0.64,0.9090533278214138,0.8796,0.8940841634478552,0.8958,0.8958,0.7916000000000001
0.65,0.9099249374478732,0.8728,0.8909759085340956,0.8932,0.8932,0.7864
0.66,0.9126950653732602,0.8656,0.8885239170601519,0.8914,0.8914,0.7828
0.67,0.9145408163265306,0.8604,0.8866446826051113,0.89,0.89,0.78
0.68,0.9163807890222985,0.8548,0.8845198675496688,0.8884,0.8884000000000001,0.7768
0.6900000000000001,0.918429003021148,0.8512,0.8835374714552626,0.8878,0.8877999999999999,0.7756
0.7000000000000001,0.9190952588081774,0.8452,0.8806001250260471,0.8854,0.8854,0.7707999999999999
0.71,0.920844327176781,0.8376,0.8772517804775869,0.8828,0.8828,0.7656000000000001
0.72,0.9223257878384377,0.8312,0.8743951188722912,0.8806,0.8806,0.7612000000000001
0.73,0.9240790655884995,0.8228,0.8705035971223022,0.8776,0.8775999999999999,0.7552
0.74,0.9272396543883583,0.8156,0.8678442221749308,0.8758,0.8758,0.7516
0.75,0.9296875,0.8092,0.8652694610778443,0.874,0.874,0.748
0.76,0.9303944315545244,0.802,0.8614393125671321,0.871,0.871,0.742
0.77,0.9337406015037594,0.7948,0.858686257562662,0.8692,0.8692,0.7384
0.78,0.936757013789824,0.788,0.8559635020638714,0.8674,0.8674,0.7348
0.79,0.9369282619162254,0.7784,0.850338649770592,0.863,0.863,0.726
0.8,0.9372549019607843,0.7648,0.8422907488986784,0.8568,0.8568,0.7136
0.81,0.938622754491018,0.7524,0.8352575488454707,0.8516,0.8515999999999999,0.7031999999999999
0.8200000000000001,0.9377868434472209,0.7356,0.8244788164088769,0.8434,0.8434,0.6868000000000001
0.8300000000000001,0.9381496881496881,0.722,0.816003616636528,0.8372,0.8371999999999999,0.6744
0.84,0.9390243902439024,0.7084,0.8075695394436845,0.8312,0.8311999999999999,0.6624
0.85,0.9418478260869565,0.6932,0.7986175115207373,0.8252,0.8252,0.6504000000000001
0.86,0.9428251121076233,0.6728,0.7852474323062558,0.816,0.8160000000000001,0.632
0.87,0.9455503512880562,0.646,0.7675855513307985,0.8044,0.8044,0.6088
0.88,0.9469512195121951,0.6212,0.7502415458937198,0.7932,0.7931999999999999,0.5863999999999999
0.89,0.9502583979328165,0.5884,0.7267786561264822,0.7788,0.7787999999999999,0.5576
0.9,0.9543907420013614,0.5608,0.7064751826656589,0.767,0.7669999999999999,0.5339999999999999
0.91,0.9619252873563219,0.5356,0.6880781089414183,0.7572,0.7572,0.5144
0.92,0.9653312788906009,0.5012,0.6598209583991574,0.7416,0.7416,0.48319999999999996
0.93,0.9730412805391744,0.462,0.6265256305939788,0.7246,0.7246,0.4492
0.9400000000000001,0.9769452449567724,0.4068,0.5744140073425587,0.6986,0.6986,0.39719999999999994
0.9500000000000001,0.9810690423162584,0.3524,0.51854031783402,0.6728,0.6728,0.34559999999999996
0.96,0.9782903663500678,0.2884,0.4454742045103491,0.641,0.641,0.28200000000000003
0.97,0.9845890410958904,0.23,0.3728923476005188,0.6132,0.6132,0.22639999999999996
0.98,0.9845360824742269,0.1528,0.26454293628808867,0.5752,0.5752,0.15040000000000003
0.99,0.9835164835164835,0.0716,0.13348247576435496,0.5352,0.5352,0.07040000000000002
1.0,0.0,0.0,0.0,0.5,0.5,0.0
